id,name,description,risk,category,area,source,docs
audio.disable-beep,System Beep Driver,This affects the old system beep behavior driven by the Beep driver. Most people will never notice it unless they are cleaning up legacy system sounds or debugging old compatibility behavior.,Medium,Audio,Registry,research/records/audio.disable-beep.review.json,Docs/peripheral/peripheral.md
audio.disable-spatial-audio,Disable Spatial Audio,Sets the DisableSpatialOnLowLatency audio policy value to disable spatial audio on the low-latency path.,Advanced,Audio,Registry,app/Services/TweakProviders/AudioTweakProvider.cs#L22,Docs/peripheral/peripheral.md
audio.disable-system-sounds,Disable System Sounds,Clears the default sound events for common system sounds.,Safe,Audio,Registry,app/Services/TweakProviders/AudioTweakProvider.cs#L34,Docs/peripheral/peripheral.md
audio.show-disconnected-devices,Show Disconnected Audio Devices,This makes disconnected audio devices appear in the classic Sound control panel. The evidence only proves the DeviceCpl preference is read by mmsys.cpl and can be toggled reversibly.,Medium,Audio,Registry,research/records/audio.show-disconnected-devices.review.json,Docs/peripheral/peripheral.md
audio.show-hidden-devices,Show Hidden Audio Devices,This makes hidden audio devices appear in the classic Sound control panel. The evidence only proves the DeviceCpl preference is read by mmsys.cpl and can be toggled reversibly.,Medium,Audio,Registry,research/records/audio.show-hidden-devices.review.json,Docs/peripheral/peripheral.md
cleanup.background-history,Clear Wallpaper History,Clears the personalization wallpaper history registry entries and cached background files.,Safe,Cleanup,Cleanup,engine/Tweaks/Commands/Cleanup/ClearBackgroundHistoryTweak.cs#L14,Docs/cleanup/cleanup.md
cleanup.component-store,Cleanup Component Store,Cleans up the Windows component store (WinSxS folder) to free up disk space. This is a safe operation that removes superseded components and reduces the size of the component store.,Safe,Cleanup,Cleanup,engine/Tweaks/Commands/Cleanup/CleanupComponentStoreTweak.cs#L16,Docs/cleanup/cleanup.md
cleanup.delivery-optimization,Clear Delivery Optimization Files,Deletes Delivery Optimization cache used for Windows Update P2P sharing. The DoSvc service will be stopped.,Safe,Cleanup,Cleanup,engine/Tweaks/Commands/Cleanup/ClearDeliveryOptimizationFilesTweak.cs#L14,Docs/cleanup/cleanup.md
cleanup.directx-shader-cache,Clear DirectX Shader Cache,"Clears DirectX and vendor shader caches (NVIDIA, AMD, Intel). Shaders will be recompiled on next app launch.",Safe,Cleanup,Cleanup,engine/Tweaks/Commands/Cleanup/ClearDirectXShaderCacheTweak.cs#L11,Docs/cleanup/cleanup.md
cleanup.disable-reserved-storage,Disable Reserved Storage,"Disables Windows Reserved Storage, which reserves disk space for updates and temporary files.",Advanced,Cleanup,Cleanup,engine/Tweaks/Commands/Cleanup/DisableReservedStorageTweak.cs#L17,Docs/cleanup/cleanup.md
cleanup.eventlog-system,Clear System Event Log,Clears the Windows System event log. WARNING: Logs cannot be recovered after clearing.,Advanced,Cleanup,Cleanup,engine/Tweaks/Commands/Cleanup/ClearEventLogsTweak.cs#L15,Docs/cleanup/cleanup.md
cleanup.font-cache,Clear Font Cache,Clears the Windows font cache. Use this if fonts are not rendering properly. The FontCache service will be stopped and restarted.,Safe,Cleanup,Cleanup,engine/Tweaks/Commands/Cleanup/ClearFontCacheTweak.cs#L14,Docs/cleanup/cleanup.md
