id,name,category,risk,coverage_state,has_nohuto_evidence,has_windows_internals_context,needs_review,source_repositories,matched_tokens,summary
audio.disable-spatial-audio,Disable Spatial Audio,Audio,Advanced,repo-backed,yes,no,no,win-config;win-registry;decompiled-pseudocode,audio;disablespatialonlowlatency,"Matched 2 audit token(s) across win-config, win-registry, decompiled-pseudocode. These links show where the name came from. Value semantics still come from the research record."
audio.disable-system-sounds,Disable System Sounds,Audio,Safe,repo-backed,yes,no,no,win-config;decompiled-pseudocode,appevents;schemes;apps;systemasterisk;current;notification;reminder;close;criticalbatteryalarm;systemhand;mailbeep;deviceconnect;devicedisconnect;devicefail;systemexclamation;lowbatteryalarm;maximize;menucommand;menupopup;messagenudge;minimize;faxbeep;mail;proximity;proximityconnection;open;printcomplete;appgpfault;systemquestion;restoredown;restoreup;ccselect;showband;systemnotification;changetheme;windowsuac;explorer;blockedpopup;activatingdocument;emptyrecyclebin;feeddiscovered;movemenuitem;securityband;navigating;sapisvr;disnumberssound;panelsound;misrecosound;huboffsound;hubonsound;hubsleepsound,"Matched 51 audit token(s) across win-config, decompiled-pseudocode. These links show where the name came from. Value semantics still come from the research record."
cleanup.background-history,Clear Wallpaper History,Cleanup,Safe,repo-backed,yes,no,no,win-config,background history;wallpapers;cachedfiles,Mapped to the exact nohuto cleanup section for wallpaper history registry values and cached background files.
cleanup.component-store,Cleanup Component Store,Cleanup,Safe,repo-backed,yes,no,no,win-config,winsxs;startcomponentcleanup;component store,Mapped to nohuto WinSxS cleanup guidance and Microsoft's DISM component store documentation.
cleanup.delivery-optimization,Clear Delivery Optimization Files,Cleanup,Safe,repo-backed,yes,no,no,win-config,delivery optimization;dosvc;downloader,Mapped to the exact nohuto cleanup section for Delivery Optimization cache and metadata paths.
cleanup.directx-shader-cache,Clear DirectX Shader Cache,Cleanup,Safe,repo-backed,yes,no,no,win-config,directx shader cache;d3dscache;nvidia cache,Mapped to the exact nohuto cleanup section for DirectX and vendor shader cache folders.
cleanup.disable-reserved-storage,Disable Reserved Storage,Cleanup,Advanced,repo-backed,yes,no,no,win-config,disable reserved storage,Matched 1 audit token(s) across win-config. These links show where the name came from. Value semantics still come from the research record.
cleanup.eventlog-system,Clear System Event Log,Cleanup,Advanced,category-fallback,yes,no,yes,win-config,,"Linked to the closest upstream win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
cleanup.font-cache,Clear Font Cache,Cleanup,Safe,repo-backed,yes,no,no,win-config,font cache;fontcache;fntcache.dat,Mapped to the exact nohuto cleanup section for FontCache service handling and cache file removal.
cleanup.internet-temp-files,Clear Temporary Internet Files,Cleanup,Safe,repo-backed,yes,no,no,win-config,temporary internet files;inetcache;webcache,"Mapped to the exact nohuto cleanup section for legacy WinINet cache, cookie, history, and WebCache paths."
cleanup.memory-dumps,Clear Memory Dump Files,Cleanup,Safe,repo-backed,yes,no,no,win-config,deletes;%windir%;memory;files;under;minidump;memory dump;livekernelreports;memory.dmp,Mapped to the exact nohuto cleanup section for LiveKernelReports and MEMORY.DMP removal.
cleanup.prefetch-files,Clear Prefetch Files,Cleanup,Safe,repo-backed,yes,yes,no,win-config,clears;prefetch;files;from;%windir%;over;time;sysmain;enableprefetcher,"Mapped to nohuto cleanup guidance for prefetch files, with Windows Internals context for SysMain and prefetch behavior."
cleanup.product-key,Remove Product Key from Registry,Cleanup,Advanced,repo-backed,yes,no,no,win-config,slmgr;cpky;remove;product;from;registry;does;automatically;runs;restore;product key,Mapped to nohuto product-key cleanup notes and the official slmgr /cpky documentation.
cleanup.recycle-bin,Empty Recycle Bin,Cleanup,Safe,repo-backed,yes,no,no,win-config,recycle bin;clear-recyclebin;$recycle.bin,Mapped to nohuto recycle-bin cleanup guidance and the official Clear-RecycleBin command.
cleanup.shadow-copies,Clear Shadow Copies,Cleanup,Risky,repo-backed,yes,no,no,win-config,shadow copies;vssadmin;delete shadows,Mapped to nohuto shadow-copy cleanup guidance and the official vssadmin command reference.
cleanup.srum-data,Clear SRUM Database,Cleanup,Advanced,repo-backed,yes,no,no,win-config,srum;srudb.dat;system resource usage monitor,Mapped to the exact nohuto cleanup section for the SRUM database path and usage notes.
cleanup.temp-files,Clear Temporary Files,Cleanup,Safe,repo-backed,yes,no,no,win-config,temporary files;%temp%;windows temp,Mapped to the exact nohuto cleanup section for per-user and system temp folders.
cleanup.thumbnail-cache,Clear Thumbnail Cache,Cleanup,Safe,repo-backed,yes,no,no,win-config,thumbnail cache;explorer;*.db,Mapped to the exact nohuto cleanup section for Explorer thumbnail cache databases.
cleanup.wer-files,Clear Windows Error Reporting Files,Cleanup,Safe,repo-backed,yes,no,no,win-config,wer;windows error reporting;programdata microsoft windows wer,Mapped to nohuto WER cleanup guidance and the official Windows Error Reporting documentation.
